state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia
w.p. labuan,primary,female,2018,94.99,98.52,-3.530000000000001
w.p. labuan,primary,female,2019,90.0,98.7,-8.700000000000003
w.p. labuan,primary,female,2020,96.8,99.3,-2.5
w.p. labuan,primary,female,2021,93.2,100.5,-7.299999999999997
w.p. labuan,primary,female,2022,93.9,100.1,-6.199999999999989
w.p. putrajaya,primary,female,2016,104.8,99.14,5.659999999999997
w.p. putrajaya,primary,female,2017,103.56,98.83,4.730000000000004
w.p. putrajaya,primary,female,2018,102.78,98.52,4.260000000000005
w.p. putrajaya,primary,female,2019,99.5,98.7,0.7999999999999972
w.p. putrajaya,primary,female,2020,104.3,99.3,5.0
w.p. putrajaya,primary,female,2021,80.0,100.5,-20.5
w.p. putrajaya,primary,female,2022,104.9,100.1,4.800000000000011
johor,primary,male,2016,98.67,97.64,1.0300000000000011
johor,primary,male,2017,98.59,97.34,1.25
johor,primary,male,2018,96.97,96.86,0.10999999999999943
johor,primary,male,2019,97.2,97.2,0.0
johor,primary,male,2020,97.6,97.6,0.0
johor,primary,male,2021,91.8,97.5,-5.700000000000003
johor,primary,male,2022,98.7,98.7,0.0
kedah,primary,male,2016,99.11,97.64,1.4699999999999989
kedah,primary,male,2017,99.43,97.34,2.0900000000000034
kedah,primary,male,2018,99.33,96.86,2.469999999999999
kedah,primary,male,2019,99.6,97.2,2.3999999999999915
kedah,primary,male,2020,99.3,97.6,1.7000000000000028
kedah,primary,male,2021,95.3,97.5,-2.200000000000003
kedah,primary,male,2022,99.8,98.7,1.0999999999999943
kelantan,primary,male,2016,99.2,97.64,1.5600000000000023
kelantan,primary,male,2017,99.0,97.34,1.6599999999999966
kelantan,primary,male,2018,98.12,96.86,1.2600000000000051
kelantan,primary,male,2019,98.7,97.2,1.5
kelantan,primary,male,2020,97.6,97.6,0.0
kelantan,primary,male,2021,98.7,97.5,1.2000000000000028
kelantan,primary,male,2022,97.3,98.7,-1.4000000000000057
melaka,primary,male,2016,97.73,97.64,0.09000000000000341
melaka,primary,male,2017,97.87,97.34,0.5300000000000011
melaka,primary,male,2018,98.67,96.86,1.8100000000000023
melaka,primary,male,2019,97.2,97.2,0.0
melaka,primary,male,2020,97.7,97.6,0.10000000000000853
melaka,primary,male,2021,93.5,97.5,-4.0
melaka,primary,male,2022,98.7,98.7,0.0
negeri sembilan,primary,male,2016,96.74,97.64,-0.9000000000000057
negeri sembilan,primary,male,2017,98.44,97.34,1.0999999999999943
negeri sembilan,primary,male,2018,97.9,96.86,1.0400000000000063
negeri sembilan,primary,male,2019,98.7,97.2,1.5
negeri sembilan,primary,male,2020,99.7,97.6,2.1000000000000085
negeri sembilan,primary,male,2021,102.8,97.5,5.299999999999997
negeri sembilan,primary,male,2022,100.6,98.7,1.8999999999999915
pahang,primary,male,2016,96.81,97.64,-0.8299999999999983
pahang,primary,male,2017,96.34,97.34,-1.0
pahang,primary,male,2018,96.63,96.86,-0.23000000000000398
pahang,primary,male,2019,95.2,97.2,-2.0
pahang,primary,male,2020,96.2,97.6,-1.3999999999999915
pahang,primary,male,2021,96.8,97.5,-0.7000000000000028
pahang,primary,male,2022,95.1,98.7,-3.6000000000000085
perak,primary,male,2016,98.39,97.64,0.75
perak,primary,male,2017,98.44,97.34,1.0999999999999943
perak,primary,male,2018,97.69,96.86,0.8299999999999983
perak,primary,male,2019,98.0,97.2,0.7999999999999972
perak,primary,male,2020,98.4,97.6,0.8000000000000114
perak,primary,male,2021,98.0,97.5,0.5
perak,primary,male,2022,99.1,98.7,0.3999999999999915
perlis,primary,male,2016,102.63,97.64,4.989999999999995
perlis,primary,male,2017,98.05,97.34,0.7099999999999937
perlis,primary,male,2018,99.13,96.86,2.269999999999996
perlis,primary,male,2019,97.0,97.2,-0.20000000000000284
perlis,primary,male,2020,97.7,97.6,0.10000000000000853
perlis,primary,male,2021,94.4,97.5,-3.0999999999999943
perlis,primary,male,2022,103.9,98.7,5.200000000000003
pulau pinang,primary,male,2016,95.93,97.64,-1.7099999999999937
pulau pinang,primary,male,2017,95.35,97.34,-1.990000000000009
pulau pinang,primary,male,2018,95.9,96.86,-0.9599999999999937
pulau pinang,primary,male,2019,95.0,97.2,-2.200000000000003
pulau pinang,primary,male,2020,96.1,97.6,-1.5
pulau pinang,primary,male,2021,91.6,97.5,-5.900000000000006
pulau pinang,primary,male,2022,96.6,98.7,-2.1000000000000085
sabah,primary,male,2016,99.29,97.64,1.6500000000000057
sabah,primary,male,2017,98.51,97.34,1.1700000000000017
sabah,primary,male,2018,98.14,96.86,1.2800000000000011
sabah,primary,male,2019,99.4,97.2,2.200000000000003
sabah,primary,male,2020,99.8,97.6,2.200000000000003
sabah,primary,male,2021,97.3,97.5,-0.20000000000000284
sabah,primary,male,2022,100.3,98.7,1.5999999999999943
sarawak,primary,male,2016,98.82,97.64,1.1799999999999926
sarawak,primary,male,2017,99.13,97.34,1.789999999999992
sarawak,primary,male,2018,98.91,96.86,2.049999999999997
sarawak,primary,male,2019,99.7,97.2,2.5
sarawak,primary,male,2020,99.6,97.6,2.0
sarawak,primary,male,2021,99.6,97.5,2.0999999999999943
sarawak,primary,male,2022,100.3,98.7,1.5999999999999943
selangor,primary,male,2016,96.17,97.64,-1.4699999999999989
selangor,primary,male,2017,95.48,97.34,-1.8599999999999994
selangor,primary,male,2018,94.68,96.86,-2.1799999999999926
selangor,primary,male,2019,95.4,97.2,-1.7999999999999972
selangor,primary,male,2020,96.4,97.6,-1.1999999999999886
selangor,primary,male,2021,103.6,97.5,6.099999999999994
selangor,primary,male,2022,98.2,98.7,-0.5
terengganu,primary,male,2016,99.51,97.64,1.8700000000000045
terengganu,primary,male,2017,98.7,97.34,1.3599999999999994
terengganu,primary,male,2018,97.99,96.86,1.1299999999999955
terengganu,primary,male,2019,100.0,97.2,2.799999999999997
terengganu,primary,male,2020,99.0,97.6,1.4000000000000057
terengganu,primary,male,2021,102.9,97.5,5.400000000000006
terengganu,primary,male,2022,103.1,98.7,4.3999999999999915
w.p. kuala lumpur,primary,male,2016,90.8,97.64,-6.840000000000003
w.p. kuala lumpur,primary,male,2017,89.4,97.34,-7.939999999999998
w.p. kuala lumpur,primary,male,2018,90.31,96.86,-6.549999999999997
w.p. kuala lumpur,primary,male,2019,90.7,97.2,-6.5
w.p. kuala lumpur,primary,male,2020,91.6,97.6,-6.0
w.p. kuala lumpur,primary,male,2021,92.4,97.5,-5.099999999999994
w.p. kuala lumpur,primary,male,2022,92.9,98.7,-5.799999999999997
w.p. labuan,primary,male,2016,92.4,97.64,-5.239999999999995
w.p. labuan,primary,male,2017,92.24,97.34,-5.1000000000000085
w.p. labuan,primary,male,2018,94.09,96.86,-2.769999999999996
w.p. labuan,primary,male,2019,89.7,97.2,-7.5
w.p. labuan,primary,male,2020,91.6,97.6,-6.0
w.p. labuan,primary,male,2021,89.5,97.5,-8.0
w.p. labuan,primary,male,2022,90.9,98.7,-7.799999999999997
w.p. putrajaya,primary,male,2016,102.23,97.64,4.590000000000003
w.p. putrajaya,primary,male,2017,103.56,97.34,6.219999999999999
w.p. putrajaya,primary,male,2018,99.7,96.86,2.8400000000000034
w.p. putrajaya,primary,male,2019,99.6,97.2,2.3999999999999915
w.p. putrajaya,primary,male,2020,98.7,97.6,1.1000000000000085
w.p. putrajaya,primary,male,2021,73.9,97.5,-23.599999999999994
w.p. putrajaya,primary,male,2022,101.1,98.7,2.3999999999999915
johor,secondary_lower,female,2016,96.7463,97.0444,-0.29809999999999093
johor,secondary_lower,female,2017,100.5709,98.6532,1.9176999999999964
johor,secondary_lower,female,2018,99.4141,97.6811,1.733000000000004
johor,secondary_lower,female,2019,96.8,98.0,-1.2000000000000028
johor,secondary_lower,female,2020,98.3,99.3,-1.0
johor,secondary_lower,female,2021,98.4,100.4,-2.0
johor,secondary_lower,female,2022,97.6,98.9,-1.3000000000000114
kedah,secondary_lower,female,2016,97.6341,97.0444,0.5897000000000077
kedah,secondary_lower,female,2017,97.6467,98.6532,-1.0065000000000026
kedah,secondary_lower,female,2018,97.7081,97.6811,0.027000000000001023
kedah,secondary_lower,female,2019,98.1,98.0,0.09999999999999432
kedah,secondary_lower,female,2020,98.6,99.3,-0.7000000000000028
kedah,secondary_lower,female,2021,100.9,100.4,0.5
kedah,secondary_lower,female,2022,99.2,98.9,0.29999999999999716
kelantan,secondary_lower,female,2016,96.6945,97.0444,-0.349899999999991
kelantan,secondary_lower,female,2017,96.9235,98.6532,-1.729699999999994
kelantan,secondary_lower,female,2018,86.3164,97.6811,-11.3647
kelantan,secondary_lower,female,2019,98.8,98.0,0.7999999999999972
kelantan,secondary_lower,female,2020,112.9,99.3,13.600000000000009
kelantan,secondary_lower,female,2021,112.9,100.4,12.5
kelantan,secondary_lower,female,2022,98.7,98.9,-0.20000000000000284
melaka,secondary_lower,female,2016,99.9568,97.0444,2.912400000000005
melaka,secondary_lower,female,2017,99.2662,98.6532,0.6129999999999995
melaka,secondary_lower,female,2018,100.0305,97.6811,2.349400000000003
melaka,secondary_lower,female,2019,98.5,98.0,0.5
melaka,secondary_lower,female,2020,98.6,99.3,-0.7000000000000028
melaka,secondary_lower,female,2021,99.2,100.4,-1.2000000000000028
melaka,secondary_lower,female,2022,99.3,98.9,0.3999999999999915
negeri sembilan,secondary_lower,female,2016,98.235,97.0444,1.1906000000000034
negeri sembilan,secondary_lower,female,2017,100.411,98.6532,1.7578000000000031
negeri sembilan,secondary_lower,female,2018,98.2037,97.6811,0.5225999999999971
negeri sembilan,secondary_lower,female,2019,97.2,98.0,-0.7999999999999972
negeri sembilan,secondary_lower,female,2020,99.8,99.3,0.5
negeri sembilan,secondary_lower,female,2021,99.6,100.4,-0.8000000000000114
negeri sembilan,secondary_lower,female,2022,99.8,98.9,0.8999999999999915
pahang,secondary_lower,female,2016,96.6483,97.0444,-0.3960999999999899
pahang,secondary_lower,female,2017,98.1296,98.6532,-0.5236000000000018
pahang,secondary_lower,female,2018,97.0508,97.6811,-0.6303000000000054
pahang,secondary_lower,female,2019,97.5,98.0,-0.5
pahang,secondary_lower,female,2020,97.3,99.3,-2.0
pahang,secondary_lower,female,2021,100.0,100.4,-0.4000000000000057
pahang,secondary_lower,female,2022,98.8,98.9,-0.10000000000000853
perak,secondary_lower,female,2016,97.142,97.0444,0.09759999999999991
perak,secondary_lower,female,2017,98.1378,98.6532,-0.5153999999999996
perak,secondary_lower,female,2018,97.178,97.6811,-0.5031000000000034
perak,secondary_lower,female,2019,97.7,98.0,-0.29999999999999716
perak,secondary_lower,female,2020,98.8,99.3,-0.5
perak,secondary_lower,female,2021,100.2,100.4,-0.20000000000000284
perak,secondary_lower,female,2022,99.4,98.9,0.5
perlis,secondary_lower,female,2016,95.152,97.0444,-1.892399999999995
perlis,secondary_lower,female,2017,96.6188,98.6532,-2.034400000000005
perlis,secondary_lower,female,2018,98.2229,97.6811,0.541799999999995
perlis,secondary_lower,female,2019,95.9,98.0,-2.0999999999999943
perlis,secondary_lower,female,2020,95.8,99.3,-3.5
perlis,secondary_lower,female,2021,98.6,100.4,-1.8000000000000114
perlis,secondary_lower,female,2022,100.3,98.9,1.3999999999999915
pulau pinang,secondary_lower,female,2016,96.7884,97.0444,-0.2560000000000002
pulau pinang,secondary_lower,female,2017,97.4851,98.6532,-1.1680999999999955
pulau pinang,secondary_lower,female,2018,96.6006,97.6811,-1.0805000000000007
pulau pinang,secondary_lower,female,2019,98.9,98.0,0.9000000000000057
pulau pinang,secondary_lower,female,2020,99.1,99.3,-0.20000000000000284
pulau pinang,secondary_lower,female,2021,97.9,100.4,-2.5
pulau pinang,secondary_lower,female,2022,99.7,98.9,0.7999999999999972
sabah,secondary_lower,female,2016,92.4599,97.0444,-4.584499999999991
sabah,secondary_lower,female,2017,96.8362,98.6532,-1.816999999999993
sabah,secondary_lower,female,2018,96.9419,97.6811,-0.7391999999999967
sabah,secondary_lower,female,2019,96.4,98.0,-1.5999999999999943
sabah,secondary_lower,female,2020,97.5,99.3,-1.7999999999999972
sabah,secondary_lower,female,2021,98.7,100.4,-1.7000000000000028
sabah,secondary_lower,female,2022,99.7,98.9,0.7999999999999972
sarawak,secondary_lower,female,2016,96.4445,97.0444,-0.599899999999991
sarawak,secondary_lower,female,2017,97.5599,98.6532,-1.0932999999999993
sarawak,secondary_lower,female,2018,97.2874,97.6811,-0.3936999999999955
sarawak,secondary_lower,female,2019,97.1,98.0,-0.9000000000000057
sarawak,secondary_lower,female,2020,97.7,99.3,-1.5999999999999943
sarawak,secondary_lower,female,2021,98.7,100.4,-1.7000000000000028
sarawak,secondary_lower,female,2022,99.6,98.9,0.6999999999999886
selangor,secondary_lower,female,2016,98.6911,97.0444,1.6467000000000098
selangor,secondary_lower,female,2017,100.2461,98.6532,1.5929000000000002
selangor,secondary_lower,female,2018,101.8743,97.6811,4.1932000000000045
selangor,secondary_lower,female,2019,99.1,98.0,1.0999999999999943
selangor,secondary_lower,female,2020,98.2,99.3,-1.0999999999999943
selangor,secondary_lower,female,2021,101.5,100.4,1.0999999999999943
selangor,secondary_lower,female,2022,98.4,98.9,-0.5
terengganu,secondary_lower,female,2016,97.9727,97.0444,0.9283000000000072
terengganu,secondary_lower,female,2017,99.5636,98.6532,0.9103999999999957
terengganu,secondary_lower,female,2018,100.3665,97.6811,2.6854000000000013
terengganu,secondary_lower,female,2019,101.7,98.0,3.700000000000003
terengganu,secondary_lower,female,2020,99.9,99.3,0.6000000000000085
terengganu,secondary_lower,female,2021,99.0,100.4,-1.4000000000000057
terengganu,secondary_lower,female,2022,99.9,98.9,1.0
w.p. kuala lumpur,secondary_lower,female,2016,99.2771,97.0444,2.2327000000000083
w.p. kuala lumpur,secondary_lower,female,2017,97.4007,98.6532,-1.2524999999999977
w.p. kuala lumpur,secondary_lower,female,2018,95.4319,97.6811,-2.249200000000002
w.p. kuala lumpur,secondary_lower,female,2019,98.0,98.0,0.0
w.p. kuala lumpur,secondary_lower,female,2020,98.0,99.3,-1.2999999999999972
w.p. kuala lumpur,secondary_lower,female,2021,98.7,100.4,-1.7000000000000028
w.p. kuala lumpur,secondary_lower,female,2022,96.4,98.9,-2.5
w.p. labuan,secondary_lower,female,2016,80.4911,97.0444,-16.553299999999993
w.p. labuan,secondary_lower,female,2017,99.5,98.6532,0.8468000000000018
w.p. labuan,secondary_lower,female,2018,89.0909,97.6811,-8.590199999999996
w.p. labuan,secondary_lower,female,2019,94.2,98.0,-3.799999999999997
w.p. labuan,secondary_lower,female,2020,104.7,99.3,5.400000000000006
w.p. labuan,secondary_lower,female,2021,98.2,100.4,-2.200000000000003
w.p. labuan,secondary_lower,female,2022,103.2,98.9,4.299999999999997
w.p. putrajaya,secondary_lower,female,2016,111.7188,97.0444,14.674400000000006
w.p. putrajaya,secondary_lower,female,2017,109.7004,98.6532,11.047200000000004
w.p. putrajaya,secondary_lower,female,2018,98.8447,97.6811,1.1636000000000024
w.p. putrajaya,secondary_lower,female,2019,108.6,98.0,10.599999999999994
w.p. putrajaya,secondary_lower,female,2020,108.3,99.3,9.0
w.p. putrajaya,secondary_lower,female,2021,97.2,100.4,-3.200000000000003
w.p. putrajaya,secondary_lower,female,2022,105.9,98.9,7.0
johor,secondary_lower,male,2016,92.884,94.1613,-1.2772999999999968
johor,secondary_lower,male,2017,98.5141,96.813,1.7010999999999967
johor,secondary_lower,male,2018,99.9562,95.6254,4.330799999999996
johor,secondary_lower,male,2019,93.5,95.4,-1.9000000000000057
johor,secondary_lower,male,2020,95.6,96.4,-0.8000000000000114
johor,secondary_lower,male,2021,97.4,99.2,-1.7999999999999972
johor,secondary_lower,male,2022,102.5,99.2,3.299999999999997
kedah,secondary_lower,male,2016,94.3062,94.1613,0.1449000000000069
kedah,secondary_lower,male,2017,96.9697,96.813,0.15670000000000073
kedah,secondary_lower,male,2018,95.0751,95.6254,-0.5502999999999929
kedah,secondary_lower,male,2019,94.1,95.4,-1.3000000000000114
kedah,secondary_lower,male,2020,95.0,96.4,-1.4000000000000057
kedah,secondary_lower,male,2021,99.7,99.2,0.5
kedah,secondary_lower,male,2022,99.6,99.2,0.3999999999999915
kelantan,secondary_lower,male,2016,95.7847,94.1613,1.6234000000000037
kelantan,secondary_lower,male,2017,92.3972,96.813,-4.415800000000004
kelantan,secondary_lower,male,2018,85.6336,95.6254,-9.991799999999998
kelantan,secondary_lower,male,2019,97.1,95.4,1.6999999999999886
kelantan,secondary_lower,male,2020,107.0,96.4,10.599999999999994
kelantan,secondary_lower,male,2021,110.5,99.2,11.299999999999997
kelantan,secondary_lower,male,2022,99.4,99.2,0.20000000000000284
melaka,secondary_lower,male,2016,98.1113,94.1613,3.950000000000003
melaka,secondary_lower,male,2017,97.8447,96.813,1.0317000000000007
melaka,secondary_lower,male,2018,99.8065,95.6254,4.181100000000001
melaka,secondary_lower,male,2019,98.9,95.4,3.5
melaka,secondary_lower,male,2020,96.9,96.4,0.5
melaka,secondary_lower,male,2021,97.1,99.2,-2.1000000000000085
melaka,secondary_lower,male,2022,98.6,99.2,-0.6000000000000085
negeri sembilan,secondary_lower,male,2016,96.4068,94.1613,2.245500000000007
negeri sembilan,secondary_lower,male,2017,98.7444,96.813,1.9313999999999965
negeri sembilan,secondary_lower,male,2018,96.0503,95.6254,0.42489999999999384
negeri sembilan,secondary_lower,male,2019,96.6,95.4,1.1999999999999886
negeri sembilan,secondary_lower,male,2020,96.7,96.4,0.29999999999999716
negeri sembilan,secondary_lower,male,2021,98.3,99.2,-0.9000000000000057
negeri sembilan,secondary_lower,male,2022,99.9,99.2,0.7000000000000028
pahang,secondary_lower,male,2016,96.1076,94.1613,1.946300000000008
pahang,secondary_lower,male,2017,97.1421,96.813,0.32909999999999684
pahang,secondary_lower,male,2018,92.8984,95.6254,-2.727000000000004
pahang,secondary_lower,male,2019,95.3,95.4,-0.10000000000000853
pahang,secondary_lower,male,2020,94.8,96.4,-1.6000000000000085
pahang,secondary_lower,male,2021,98.2,99.2,-1.0
pahang,secondary_lower,male,2022,98.6,99.2,-0.6000000000000085
perak,secondary_lower,male,2016,92.8087,94.1613,-1.3525999999999954
perak,secondary_lower,male,2017,95.3946,96.813,-1.4184000000000054
perak,secondary_lower,male,2018,94.8274,95.6254,-0.7980000000000018
perak,secondary_lower,male,2019,96.2,95.4,0.7999999999999972
perak,secondary_lower,male,2020,95.5,96.4,-0.9000000000000057
perak,secondary_lower,male,2021,98.6,99.2,-0.6000000000000085
perak,secondary_lower,male,2022,99.0,99.2,-0.20000000000000284
perlis,secondary_lower,male,2016,92.1393,94.1613,-2.0219999999999914
perlis,secondary_lower,male,2017,96.2909,96.813,-0.5221000000000089
perlis,secondary_lower,male,2018,94.895,95.6254,-0.730400000000003
perlis,secondary_lower,male,2019,90.3,95.4,-5.1000000000000085
perlis,secondary_lower,male,2020,93.1,96.4,-3.3000000000000114
perlis,secondary_lower,male,2021,97.1,99.2,-2.1000000000000085
perlis,secondary_lower,male,2022,99.1,99.2,-0.10000000000000853
pulau pinang,secondary_lower,male,2016,92.7462,94.1613,-1.4150999999999954
pulau pinang,secondary_lower,male,2017,97.2984,96.813,0.4853999999999985
pulau pinang,secondary_lower,male,2018,94.3396,95.6254,-1.2857999999999947
pulau pinang,secondary_lower,male,2019,96.6,95.4,1.1999999999999886
pulau pinang,secondary_lower,male,2020,96.8,96.4,0.3999999999999915
pulau pinang,secondary_lower,male,2021,96.3,99.2,-2.9000000000000057
pulau pinang,secondary_lower,male,2022,99.7,99.2,0.5
sabah,secondary_lower,male,2016,87.8606,94.1613,-6.300699999999992
sabah,secondary_lower,male,2017,93.3594,96.813,-3.4536000000000087
sabah,secondary_lower,male,2018,92.4622,95.6254,-3.1632000000000033
sabah,secondary_lower,male,2019,92.4,95.4,-3.0
sabah,secondary_lower,male,2020,93.9,96.4,-2.5
sabah,secondary_lower,male,2021,97.1,99.2,-2.1000000000000085
sabah,secondary_lower,male,2022,99.5,99.2,0.29999999999999716
sarawak,secondary_lower,male,2016,92.2721,94.1613,-1.8892000000000024
sarawak,secondary_lower,male,2017,94.0587,96.813,-2.7543000000000006
sarawak,secondary_lower,male,2018,93.5813,95.6254,-2.0441000000000003
sarawak,secondary_lower,male,2019,93.5,95.4,-1.9000000000000057
sarawak,secondary_lower,male,2020,94.4,96.4,-2.0
sarawak,secondary_lower,male,2021,96.4,99.2,-2.799999999999997
sarawak,secondary_lower,male,2022,98.5,99.2,-0.7000000000000028
selangor,secondary_lower,male,2016,97.4134,94.1613,3.2520999999999987
selangor,secondary_lower,male,2017,100.0173,96.813,3.2043000000000035
selangor,secondary_lower,male,2018,102.2325,95.6254,6.607100000000003
selangor,secondary_lower,male,2019,96.1,95.4,0.6999999999999886
selangor,secondary_lower,male,2020,95.9,96.4,-0.5
selangor,secondary_lower,male,2021,102.1,99.2,2.8999999999999915
selangor,secondary_lower,male,2022,97.7,99.2,-1.5
terengganu,secondary_lower,male,2016,95.7021,94.1613,1.5408000000000044
terengganu,secondary_lower,male,2017,98.3104,96.813,1.497399999999999
terengganu,secondary_lower,male,2018,100.4405,95.6254,4.815100000000001
terengganu,secondary_lower,male,2019,101.7,95.4,6.299999999999997
terengganu,secondary_lower,male,2020,99.2,96.4,2.799999999999997
terengganu,secondary_lower,male,2021,99.1,99.2,-0.10000000000000853
terengganu,secondary_lower,male,2022,99.6,99.2,0.3999999999999915
w.p. kuala lumpur,secondary_lower,male,2016,96.8634,94.1613,2.7021000000000015
w.p. kuala lumpur,secondary_lower,male,2017,96.1827,96.813,-0.6303000000000054
w.p. kuala lumpur,secondary_lower,male,2018,92.6775,95.6254,-2.947900000000004
w.p. kuala lumpur,secondary_lower,male,2019,97.2,95.4,1.7999999999999972
